SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,28 Camelot Ridge Dr,Brandon,FL,33511,799000,5,3.0,CAMELOT WOODS PH 2,3365,14700,2001,15,237,65,Active,,,https://www.redfin.com/FL/Brandon/28-Camelot-Ridge-Dr-33511/home/47372914,Stellar MLS as Distributed by MLS Grid,TB8537290,Y,Y,27.8801866,-82.2866308
MLS Listing,,Single Family Residential,2243 Eagle Bluff Dr,Valrico,FL,33596,495000,4,3.0,BLOOMINGDALE SEC U V PH,3042,9600,1993,285,163,20,Active,,,https://www.redfin.com/FL/Valrico/2243-Eagle-Bluff-Dr-33596/home/47248861,Stellar MLS as Distributed by MLS Grid,TB8439468,Y,Y,27.8798002,-82.2514242
MLS Listing,,Single Family Residential,3928 Northridge Dr,Valrico,FL,33596,569000,4,3.0,BLOOMINGDALE SEC U V PH,2277,10875,1991,1,250,22,Active,August-29-2026 11:00 AM,August-29-2026 03:00 PM,https://www.redfin.com/FL/Valrico/3928-Northridge-Dr-33596/home/47249061,Stellar MLS as Distributed by MLS Grid,TB8540338,Y,Y,27.8854914,-82.2472125
MLS Listing,,Single Family Residential,1124 Split Silk St,Valrico,FL,33594,619900,5,4.0,LUMSDEN POINTE PH 1,3372,12302,2002,2,184,82,Active,,,https://www.redfin.com/FL/Valrico/1124-Split-Silk-St-33594/home/47383340,Stellar MLS as Distributed by MLS Grid,TB8537384,Y,Y,27.9193146,-82.2569257
MLS Listing,,Single Family Residential,15910 Ternglade Dr,Lithia,FL,33547,879000,4,3.5,FISHHAWK RANCH PH 2 PRCL,3243,11007,2009,9,271,70,Active,,,https://www.redfin.com/FL/Lithia/15910-Ternglade-Dr-33547/home/47009518,Stellar MLS as Distributed by MLS Grid,TB8534611,Y,Y,27.8478247,-82.2177935
MLS Listing,,Single Family Residential,2928 Chelsea Woods Dr,Valrico,FL,33596,875000,5,3.5,CHELSEA WOODS,4050,22185,1998,21,216,2,Active,,,https://www.redfin.com/FL/Valrico/2928-Chelsea-Woods-Dr-33596/home/47247616,Stellar MLS as Distributed by MLS Grid,TB8536733,Y,Y,27.9030276,-82.2493824
MLS Listing,,Single Family Residential,5805 Watercolor Dr,Lithia,FL,33547,795000,4,5.0,FISHHAWK RANCH WEST PH 2A/,3283,10620,2016,70,242,99,Active,,,https://www.redfin.com/FL/Lithia/5805-Watercolor-Dr-33547/home/104223216,Stellar MLS as Distributed by MLS Grid,TB8520613,Y,Y,27.8493812,-82.2491869
MLS Listing,,Single Family Residential,3510 Autumn Glen Dr,Valrico,FL,33596,509900,4,3.0,RIVER HILLS COUNTRY CLUB PARCE,2281,9717,1994,6,224,223,Active,,,https://www.redfin.com/FL/Valrico/3510-Autumn-Glen-Dr-33596/home/47250177,Stellar MLS as Distributed by MLS Grid,TB8540930,Y,Y,27.8930838,-82.2107559
MLS Listing,,Single Family Residential,133 Barrington Dr,Brandon,FL,33511,769000,4,3.5,BARRINGTON OAKS EAST,3543,18513,1983,219,217,170,Active,,,https://www.redfin.com/FL/Brandon/133-Barrington-Dr-33511/home/47212138,Stellar MLS as Distributed by MLS Grid,TB8465143,Y,Y,27.9212729,-82.2843584
MLS Listing,,Single Family Residential,14207 Ashburn Pl,Tampa,FL,33624,695000,4,2.0,CARROLLWOOD VILLAGE,2698,13364,1981,71,258,91,Active,,,https://www.redfin.com/FL/Tampa/14207-Ashburn-Pl-33624/home/47118513,Stellar MLS as Distributed by MLS Grid,TB8517885,Y,Y,28.0807059,-82.5203432
